label,area,time,cm_lat,cm_lon,mean,stdev,median,min_value,min_lat,min_lon
19,4083431.5829102714,1994-01-27,94,345,-2.1334054941900016,0.4579921216421252,-2.029739,-3.9348085,92,360
30,956902.4519759194,1994-01-28,116,398,-1.7700488658047129,0.14428548143188868,-1.7745507,-2.1998582,123,424
16,3506548.610099474,1994-01-30,82,306,-1.8953857817360105,0.28118993221288724,-1.8423282,-2.7692437,90,360
3,6367885.439874372,1994-01-31,86,320,-2.0791718928998035,0.39299992002320855,-2.017405,-3.4508107,75,400
4,6336715.2107395325,1994-02-01,88,318,-1.9953370019366663,0.3952375293449651,-1.9092039,-4.545204,148,170
2,5351495.136691715,1994-02-02,95,319,-2.0049093195008143,0.39017217074360294,-1.9025881,-3.5999548,148,176
2,2030941.21346411,1994-02-03,43,385,-1.9360777457110725,0.2727372466225133,-1.9334593,-3.2514904,29,397
94,835364.3093509704,1994-02-03,164,257,-1.747849480716156,0.15543811044856337,-1.724118,-2.2654061,171,269
13,815700.3869355499,1994-02-04,61,241,-1.695120369956208,0.1101245451432352,-1.6897066,-1.9821798,51,230
8,1123837.1210520617,1994-02-05,55,248,-1.6946693180074737,0.15052723035969198,-1.6680009,-2.2625542,58,251
20,621177.4461971323,1994-02-05,78,409,-1.840269125584755,0.22138262618340313,-1.8211629,-2.5726178,78,401
3,3549793.1895241947,1994-02-06,61,209,-1.7484771566216832,0.15691519859131273,-1.730119,-2.3091593,51,140
10,788603.3619213848,1994-02-06,76,410,-1.8165341276972289,0.21350169582340375,-1.7727942,-2.671764,83,401
2,7135961.525457188,1994-02-07,74,254,-1.9297391736963478,0.31507255940359663,-1.8570644,-3.000426,58,398
3,8553883.3121185,1994-02-08,79,287,-2.189657685808693,0.5958534891137037,-2.0011418,-4.2198215,59,388
9,7932903.678082843,1994-02-09,84,303,-2.3439695913086607,0.8763951203467625,-2.0091958,-5.7149315,58,406
7,5800182.728944446,1994-02-10,92,339,-2.293120815767928,0.7268480691014838,-2.0209584,-4.751919,81,403
26,3588383.0763844717,1994-02-11,92,381,-2.283047065533214,0.6249085823459776,-2.1211572,-4.660776,87,406
30,2158489.340572699,1994-02-12,91,402,-2.0414905007738264,0.4778683432069869,-1.9141409,-3.702924,87,406
26,1891921.170129679,1994-02-13,88,402,-2.1185803244443338,0.44896205493724,-2.033503,-3.7361305,91,409
29,999051.7952893343,1994-02-14,90,405,-2.1853896121298635,0.5718463262653336,-2.028647,-3.6604934,91,409
5,721586.3072436504,1994-02-19,31,39,-2.028771128642764,0.4929956643463704,-1.8502084,-3.7174711,40,30
19,1926359.6316590377,1994-02-19,78,392,-1.899294824580851,0.34319848347413795,-1.8131814,-3.522191,91,409
4,942701.140443768,1994-02-20,32,48,-2.0172322240689464,0.5512232348598572,-1.8058996,-4.125027,46,36
38,1487383.37107529,1994-02-20,84,409,-2.150054322520661,0.5084524718047536,-2.130582,-3.8613517,89,405
3,1378224.344100974,1994-02-21,35,74,-1.9056433240198647,0.4356069267267376,-1.7653326,-3.7689066,40,30
29,583938.7629124613,1994-02-21,89,403,-2.1974250990680635,0.5564959002308711,-2.0916018,-3.6901646,91,408
7,605901.9241348121,1994-02-22,47,49,-2.0317718856917915,0.40651521652021294,-1.9117354,-3.1789076,47,42
16,771913.9002729148,1994-02-23,51,66,-2.0422167268039213,0.4477337911471268,-1.9087263,-3.375769,55,54
44,662763.2197187275,1994-02-23,97,362,-1.8115343055109572,0.2501567987359002,-1.7504613,-2.71882,90,362
15,1393515.3319248662,1994-02-24,61,92,-2.1095023744188084,0.44451616416712864,-2.0403366,-3.5572102,68,83
32,1647072.674269474,1994-02-24,98,384,-1.9558789764334354,0.3875193418052674,-1.856125,-3.1358771,92,408
15,2126341.153802919,1994-02-25,63,112,-1.9587336811097475,0.28688215163616887,-1.9485054,-3.0670173,104,176
14,1252118.499677316,1994-02-26,62,117,-1.7464388516712392,0.17930883267973655,-1.7140087,-2.5053444,122,202
28,1809873.2674497655,1994-02-27,120,294,-1.8711710300779905,0.24858647242867626,-1.8379583,-2.7866018,105,255
27,1167287.3790838518,1994-02-28,127,306,-1.7843260506355627,0.20564223730898953,-1.759747,-2.9181986,122,286
15,848429.2643100414,1994-03-02,106,368,-1.704876749975917,0.16191821826507655,-1.676196,-2.4091666,99,367
14,1587014.2096760033,1994-03-03,99,390,-1.8270681939421956,0.3175103263735633,-1.7033275,-2.9295163,93,411
1,934382.5580435198,1994-03-04,19,370,-1.8807577792662566,0.2812889499975544,-1.8318179,-2.8969944,14,384
3,944385.6522665324,1994-03-05,28,386,-2.0318510613618073,0.35668263207139816,-1.997467,-2.9615204,33,369
1,1314104.0459880037,1994-03-06,45,390,-2.032515569143554,0.319308531328355,-2.032569,-2.7491004,78,394
7,1164375.5410645225,1994-03-07,87,390,-2.0096672230589707,0.4204175016668947,-1.9053576,-3.325893,90,400
1,883037.7639584631,1994-03-12,49,388,-2.005156957272006,0.41294169932518526,-1.8794628,-3.1577888,49,388
5,1074146.177942002,1994-03-13,93,377,-1.7515615905865585,0.2191030978140684,-1.6932514,-2.8905458,94,382
2,528713.1729636388,1994-03-15,24,396,-1.7329613998628433,0.17655504339979514,-1.6901277,-2.2819498,22,380
13,515153.46268637665,1994-11-22,105,133,-1.9559306926427333,0.33642726851486826,-1.8702403,-3.0628161,96,134
16,575964.8291681103,1994-12-02,48,73,-1.9189862319570785,0.32288591241549475,-1.8707926,-3.0472634,55,58
8,875379.1530211446,1994-12-03,63,99,-1.873878209046201,0.26987735144657554,-1.8255296,-3.3029323,67,71
8,995903.1587750645,1994-12-04,74,117,-1.9629649633137485,0.3224551210845367,-1.9122027,-3.0638437,82,118
10,769468.8108999367,1994-12-05,89,135,-1.9326650770205371,0.319928887254652,-1.8802673,-3.4685094,101,120
3,1104470.854328406,1995-01-01,106,155,-1.9427713929518724,0.29590878103785323,-1.8952446,-3.0234976,112,184
4,860849.4532099476,1995-01-02,98,143,-1.8993836533144426,0.3151990636354346,-1.8240094,-3.255344,102,132
5,923120.4849982918,1995-01-03,96,148,-1.951424842851621,0.2981371742278996,-1.9064312,-3.0580308,112,185
1,1791328.6853752688,1995-01-04,106,175,-1.945776166762699,0.40995908945444653,-1.799403,-3.3944986,112,184
12,508595.39812399074,1995-01-05,79,115,-1.9045394105199005,0.2955599494557122,-1.8517404,-3.0799572,78,97
38,2047811.673547641,1995-01-05,128,257,-1.8226627483808515,0.2445239031999041,-1.7669543,-2.9234192,123,209
20,796867.0753087495,1995-01-09,63,210,-1.7381609712019648,0.1421406719734407,-1.7338915,-2.2018068,67,211
25,1754852.4759117726,1995-01-10,75,270,-1.8482219788792513,0.2068563011627505,-1.8410077,-2.4065688,85,270
19,2157067.9743515844,1995-01-11,80,339,-1.9463407591760937,0.30772009850880416,-1.8873538,-2.9827766,87,316
17,1795512.9648928286,1995-01-12,79,364,-1.812500568230947,0.23596698286064618,-1.7851086,-2.8017285,85,331
1,527321.2127598852,1995-01-14,22,417,-1.9296081113544377,0.26021976344288617,-1.9148328,-3.074635,28,437
2,576456.3566480394,1995-01-15,23,413,-1.992054411362991,0.292720067424789,-1.983705,-3.0449271,28,437
21,543694.8883233137,1995-01-28,103,358,-1.7373026093658135,0.1458735596637483,-1.7233323,-2.0266306,102,372
23,570062.0920726572,1995-02-03,70,355,-1.6947187889750603,0.17821113942029243,-1.6452006,-2.3979151,81,381
19,829285.9619953069,1995-02-04,84,363,-1.8317188515082066,0.25508601019993077,-1.7673768,-2.6811218,81,383
19,1355295.7810776022,1995-02-05,96,269,-1.837447018447516,0.2657971384236679,-1.7724046,-2.775153,104,266
18,3479133.606881675,1995-02-06,122,296,-2.108759031036952,0.389851740641467,-2.0620332,-3.543021,126,287
6,3162037.7255206998,1995-02-07,119,313,-2.013870345458416,0.34585039345150487,-1.9652519,-3.3241162,125,287
26,725625.5554298554,1995-02-08,148,302,-2.0725637998580932,0.3813241347948693,-2.0636938,-2.839859,166,285
18,2442847.4803021327,1995-02-09,147,281,-2.1906372481670706,0.46944829617520883,-2.1229258,-3.8406317,176,272
19,529752.324821208,1995-02-10,160,285,-1.8960823396415758,0.2435247761683324,-1.8845174,-2.589882,175,265
8,649851.420429734,1995-02-11,96,245,-1.763924450546429,0.20331673461570787,-1.7160119,-2.5213234,107,253
